image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/mountain/MOUNT (45).jpeg,"Life is a journey, not a destination.",I might never leave!,Finding peace in the mountains.,Enjoying life in the snow lane,Breathing in the peace atop the world,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (39).jpeg,The earth laughs in flowers,tropical state of mind,Caught between heaven and earth.,Elevate your perspective.,miles of smiles,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (58).jpeg,The climb is worth the view.,"Life is a journey, not a destination.",Elevate your soul where the air is rare.,Made for the mountains,beneath the endless sky.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (73).jpeg,These Colors are the smiles of nature.,Go Green mode,"each peak , a chapter of my adventure",life is better in hiking boots,Wake me up when it's summer.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (61).jpeg,"Fresh air, don't care",Wonder. Wander. Repeat.,Elevation requires a good sense of humor.,Bound for the top nothing less.,"Dear mountains, I think about you all the time",mountain
/content/drive/MyDrive/Images/mountain/MOUNT (36).jpeg,Nature's grand amphitheater.,"Good friends are like stars; you don't always see them, but you know they're there.",Hibernation mode: On.,Smoky Mountain Goals Smoky mountain views,On a date with snow.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (51).jpeg,Stacks of green.,Dancing with wildflowers,Never leaving,On top of the world,On top of mountains,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (74).jpeg,Go to the place where you feel most alive,"Fresh air, don't care",Sometimes I dream of mountains.,"Not all those who wander are lost, just some of us who crave mountain air",Take Me To Himachal,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (100).jpeg,"each peak , a chapter of my adventure",A little piece of heaven on Earth.,I was made for sunny days,in my element,I'm all about mountains and mist.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (76).jpeg,watch more sunsets than netflix,"Dear Smokies, I will never get over you",Mother Nature's finest work,"In the mountains, every moment is a miracle.","Life is a journey, not a destination.",mountain
/content/drive/MyDrive/Images/mountain/MOUNT (98).jpeg,We are all one with nature.,"so far, so good",Every day I'm shovelin'.,i'm treelaxing,The mountains call to me,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (86).jpeg,where you breathe free,Hike and seek,Tranquil river reflections,On top of the world!,I wanna see snow views on fresh.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (68).jpeg,On a date with snow.,Never miss a moment in the mountains,Adventures are the best way to learn.,Two women hiking on a trail,Find joy in the journey,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (97).jpeg,Out of home,"By getting lost in nature, you get closer to finding yourself",Breathing dreams like air,There is no mountain you can't climb,Wanderlust and mountain dust,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (55).jpeg,Where beauty meets serenity,fresh air,Switch off the Wi-Fi and plug into the WiLD.,and so the adventure begins,Smoky mountain views,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (79).jpeg,"Exploring the great outdoors, one step at a time","sun, please","Sky above, earth below, peace within.",2 women and a dog hiking down a mountain,Go wild for awhile,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (78).jpeg,"so far, so good",Connecting with Mother Earth,Harmony with nature,life is better in hiking boots,"Chasing sunsets, finding peace",mountain
/content/drive/MyDrive/Images/mountain/MOUNT (84).jpeg,Go where you feel most alive,Never leaving,The mountains teach us how to rise,Find yourself in the mountains,Get lost in the beauty of nature,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (82).jpeg,Adventures await!,The world is quiet here,Going to the mountains is going home.,The power of a volcano.,Nature's paiintbrush,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (92).jpeg,hibernation mode: on,Walking on nature's path,Chasing summits and sunsets.,Nature's playground.,miles of smiles,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (64).jpeg,Reaching new heights.,Peak perfection.,my favourite view,Adventures in every step.,Mountains aren't just funny-they're hill areas.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (65).jpeg,"Wherever you go, leave a trail","Mountains aren't just funny, they're hill areas.",Beauty in every leaf,Go against the green,Adjust your altitude,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (80).jpeg,The beauty of nature is a reminder to slow down,There is no mountain you can't climb.,"Dear mountains, I think about you all the time","A view to cherish, a memory to capture.","Feeling small, but mighty. Scaling summits.",mountain
/content/drive/MyDrive/Images/mountain/MOUNT (87).jpeg,"At times hike these, you just gotta get out.",It is good to be lost in the right direction,"If beauty lies in the eyes of the beholder, what type of beholder won’t find this mountain beautiful?",Beautiful things don't ask for attention.,Everything is better when you're here!,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (89).jpeg,and so the adventure begins,"Chasing sunsets, finding peace",Where the wild things roam.,Capturing nature's beauty,sunshine is my favourite accessory,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (41).jpeg,"Fresh air, don't care",Soaking in sunsets,Take Me To Himachal,Harmony with nature,Got lost in nature and found myself.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (54).jpeg,hibernation mode: on,Wilderness wonders.,Lost in the woods,Roaming,wake me up when its summer,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (81).jpeg,Waking up in the clouds.,Beauty in every leaf,Finding my inner peace on this safar.,Mountain magic.,Breathe in the wild air,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (91).jpeg,Mountains calling my name,Above the clouds.,Wanderlust and mountain dust,far off/out,To summit all up,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (96).jpeg,"If you're looking for beauty, you'll find it in nature","Lives a mountain, not a beach",Find your peace in the beauty of nature,I need some mountain time,Earth's natural charm,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (94).jpeg,Wonder. Wander. Repeat.,Breathe in the wild air,bloom where you are planted,Wandering through nature's high-altitude poetry.,All good things are wild and free,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (49).jpeg,This is my happy place,Road leading into snowy mountains,"Nature does not hurry, yet everything is accomplished",Green heals your soul,Nature's artistry·,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (85).jpeg,Embracing the great outdoors.,Finding peace in the mountains.,Feelin' smoky,Squad goals: Having fun and making memories.,Finding joy in the little things,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (83).jpeg,the earth has music for those who listen,Life begins at the end of your comfort zone,Are we having summit fun yet?,Never miss a moment in the mountains,"Fresh air, don't care",mountain
/content/drive/MyDrive/Images/mountain/MOUNT (99).jpeg,Happiness can be found in the mountains .,"BRB, chasing waterfalls",Nature’s masterpiece,To summit all up,Cherishing every moment with my amazing squad.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (77).jpeg,And so the adventure begins,The first snow is like the first love,Smoky mountain views,find me where the wild things are,The beauty of nature is a reminder to slow down,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (90).jpeg,The mountains whisper secrets of the ages. \,Take Me To Himachal,Elevate your soul where the air is rare.,"Made for the mountains Fresh air, don't care",Finding solace in the slopes.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (95).jpeg,The best view is worth the hardest climb.,take a hike,On a date with mountains....,Conquering peaks and crushing goals.,Peaked,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (70).jpeg,One who loves mountains is one who loves life!,Made for the mountains,Breathing in the peace atop the world,On top of the world!,Happiness can be found in the mountains .,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (88).jpeg,Living life on the edge.,Great nature awaits you.,Whispers of the wood,Adventure awaits,The earth laughs in flowers,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (69).jpeg,"More adventure, less worry",Mountains aren't just funny-they're hill areas.,"Go wild, for a while",Out of home,"It's just a mountain, get over it Enjoying life in the snow lane",mountain
/content/drive/MyDrive/Images/mountain/MOUNT (93).jpeg,On a date with mountains....,Just a couple of boulder souls.,"sun, please",Elevate your soul where the air is rare.,The Beauty of Sun.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (43).jpeg,The mountains hold secrets in their shadows.,"By getting lost in nature, you get closer to finding yourself",One who loves mountains is one who loves life!,Where the sky meets the earth. Living life on the edge.,To summit all up,mountain
/content/drive/MyDrive/Images/Baddie/3483fc2dd40e54180e5cdc8b12803b46.jpg,"Not a trend, I'm the whole vibe 10. Straight fire, no extinguisher 11. Glowing different in 2025",I never have to do too much,"Nope, not today.",Be fearless in the pursuit of what sets your soul on fire.,"Keep your heels, head, and standards high.",Baddie
/content/drive/MyDrive/Images/Baddie/a7ea3eb37383a7dd8498a75fde40248b.jpg,Be the kind of woman that makes other women want to up their game.,I tip the scale when you weigh your options Call me rose,add to cart,In her chic era,"Sweeter than honey, bolder than bourbon.",Baddie
/content/drive/MyDrive/Images/Baddie/be179f51e4d05bc07fc68745acfb764f.jpg,Slay them with kindness and a killer outfit.”,Here for the encore?,add to cart,Your biggest flex could never be me.,Sir Newton over here doesn’t seem to appreciate the gravity of the situation.”,Baddie
/content/drive/MyDrive/Images/Baddie/d0133a5252a59418574b3c120e5cb7aa.jpg,Will you be the reason I keep smiling?,make way for the now,Baddest in the room,miss me yet?,slide fa me i'm perfect,Baddie
/content/drive/MyDrive/Images/Baddie/f5f4257ac750213d5f10cce724b33fff.jpg,Supplying the demand Competition? I don't see any Your new obsession,"Do ya thing, b $he ain't on ma level",in touch but out of reach,"Eating looks, breaking necks, setting standards.",Boss babe with a sassy soul.,Baddie
/content/drive/MyDrive/Images/Baddie/5af2a4c5f621b1d35a068d293bb264d5.jpg,Can you handle my dazzling smile?,Boss mode: activated.,"No rain, no flowers.",My camera can’t get enough of me.”,Good vibes happen on the tides.,Baddie
/content/drive/MyDrive/Images/Baddie/7d0e643411ae15bc36fe8fba54894322.jpg,In my soft-girl era,Fluent in silence; sass speaks volumes.”,Let me show you bihh how to ball when all odds are against you.,Life’s too short to blend in.”,high profile but keep it lowkey,Baddie
/content/drive/MyDrive/Images/Baddie/d2a3777a8c4bb379f54a14db054d7336.jpg,"My life's a movie, and you just have a cameo.",Stay focused and extra sparkly.,When Meg said looking in the mirror like,wokeup boujee and unintrested,I never have to do too much,Baddie
/content/drive/MyDrive/Images/Baddie/c0edd4b2da63cd963b6973914786ce32.jpg,"Sassy, classy, and a bit bad-assy.”",Only pop out for pics,"I step in, and suddenly the whole room wants to adjust.",Original no replica,pull up.,Baddie
/content/drive/MyDrive/Images/Baddie/58898bb6d3c5b6f04bbd8499169aeebc.jpg,Hustle and heart will set you apart.,"Slaying, not stressing.",Want to join me in making memories?,"Unbothered, moisturized, happy, in my lane","I'm gold, but if you prefer cheaper materials, then it's fine.",Baddie
/content/drive/MyDrive/Images/Baddie/ebc4a9995e0fe1089ee045cf21608718.jpg,Proof that God has favorites. Looking this good should be taxed.,Could our paths cross in a parallel universe?,Hashtag ‘you wish.’”,Oh go make a podcast or something.”,All I do is upgrade,Baddie
/content/drive/MyDrive/Images/Baddie/b60748957626faadca433a721e2ab2b7.jpg,Original no replica,"When you look this good, you don’t need to know anything.” — Philip J. Fry, Futurama",I’m limited edition.”,"Underestimate me, that’ll be fun.”","Hi, again..",Baddie
/content/drive/MyDrive/Images/Baddie/1cb9e96651d342aa1638fbba53e076e6.jpg,"Savage but sweet, just like honey.","Behind my innocent face and pouty selfies, there's a wild streak hidden inside.",servin looks not tea,tell the gc i said hi not your birthday but,She a baddie she know she a 10.,Baddie
/content/drive/MyDrive/Images/Baddie/b2ead00957fa6379c88dfe422ed90ad7.jpg,I’m limited edition.”,"I'm 99% percent angel, but ohhhh, that 1%.” — Unknown",way to fine to waste time,cause it's BARBIE,"Diamonds? Nah, I sparkle on my own.",Baddie
/content/drive/MyDrive/Images/Baddie/160cf11a2990aae34eec1d76a17007a4.jpg,It’s an ode to joy. Joy is me. I’m joy.”,"Not a girl, not yet a boss.”","I step in, and suddenly the whole room wants to adjust.",I’m sexy and I know it.”,Living like there's no tomorrow.,Baddie
/content/drive/MyDrive/Images/Baddie/ba6728281c4a0f8647f1c6401e7ab000.jpg,i'm just saying you could do better.,can you keep up¿? ig @kimberlymanyan,I’m not weird; I’m a limited edition.”,"Built for soft life, not hard times.","As far as bad ideas went, this stole the prize.” — Julia Quinn, It's in His Kiss",Baddie
/content/drive/MyDrive/Images/Baddie/b694dae4c30418bb90f81f15a5ad3e61.jpg,Don't mistake my kindness for,Tell them I'm her,slide fa me i'm perfect,I’m not short; I’m concentrated awesome.”,don't play no games w mee,Baddie
/content/drive/MyDrive/Images/Baddie/73aa3552e6137a2b628c4305e3d1d4af.jpg,Cocktails and girl talk ++Full time princess,Sundays are for mimosas and good vibes,Sugar spice and everything nice,miss me yet?,100,Baddie
/content/drive/MyDrive/Images/Baddie/05e1688a5c82e6d1aeff47e28627de0e.jpg,"I’m not a backup plan, and definitely not a second choice.”",Queen of my own kingdom.,Short and sweet,"I believe in pink. I believe that laughing is the best calorie burner. I believe in kissing, kissing a lot. And I believe in being strong when everything seems to be going wrong. - Audrey Hepburn",Confidence looks good on me.”,Baddie
/content/drive/MyDrive/Images/Baddie/70a02813467aaf2aceeca59fb5bfac1c.jpg,"Body, face, fit, hair, vibes",Slay them with kindness and a killer outfit.”,More like ‘Insta-BAM!’”,"Not a trend, I'm the whole vibe 10. Straight fire, no extinguisher 11. Glowing different in 2025",girl of his dream$.,Baddie
/content/drive/MyDrive/Images/Baddie/795f939f8f3812ddc7f59cbf1b1bec74.jpg,Fluent in silence; sass speaks volumes.”,"Be a voice, not an echo.",What's on the menu,When Meg said looking in the mirror like,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass. - Maya Angelou,Baddie
/content/drive/MyDrive/Images/Baddie/59f1c1dd0095fcb72529717ab0061046.jpg,da wave,Stalker alert!,"Hotter than your ex, cooler than your next.",For keeps,Swipe right to reveal my next adventure!,Baddie
/content/drive/MyDrive/Images/Baddie/a02a9a56a10ba81a4604fdbd6ca0951e.jpg,"five-foot-five, she my ride or die",Life’s too short to blend in.”,i'd stop scrolling too,Stay focused and extra sparkly.,Will you be the reason I keep smiling?,Baddie
/content/drive/MyDrive/Images/Baddie/8b100d2cc3262147ba5ed918643b68e7.jpg,Proof that God has favorites.,It's been years since I've had a point to prove The star of the show still,Be fearless in the pursuit of what sets your soul on fire.,"Don't let part-time people stay in your life, for the whole time.","I feel your scorn, and I accept it.” — Jon Stewart",Baddie
/content/drive/MyDrive/Images/Baddie/0a9646914e74af1c5404b514e5c370a9.jpg,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass. - Maya Angelou,"hard to forget, but here's a reminder",Cinderella never asked for a prince,Sir Newton over here doesn’t seem to appreciate the gravity of the situation.”,Embrace the glorious mess that you are.,Baddie
/content/drive/MyDrive/Images/Baddie/2939f57f614c8061ad1fd2493181a0da.jpg,Every setback is a setup for a comeback.,I am not a one-in-a-million kind of girl. I am a once-in-a-lifetime kind of woman.,"Be a voice, not an echo.”",Swipe right to reveal my next adventure!,miss me yet?,Baddie
/content/drive/MyDrive/Images/Baddie/207f0a3158fdb871b832322c6882b2d2.jpg,Vibin' and thrivin'.,Hot & Spicy,can't fumble what you couldn't catch as good as it gets,"Minimal effort, maximum effect",tell the gc i said hi not your birthday but,Baddie
/content/drive/MyDrive/Images/Baddie/e5124efef1ad76552023260c12c9b008.jpg,I tip the scale when you weigh your options Call me rose,Your the type of boy id make asandwich for.,Obsession much? Stalkers gonna stalk,posting while ghosting can you keep up?ا,up 2 no good,Baddie
/content/drive/MyDrive/Images/Baddie/eeda077110a461a4e82f4a7f918b6b7f.jpg,That boy’s about as sharp as a bowling ball.” — Foghorn Leghorn,It’s lonely at the top.”,"First place energy, never second option.",match my vibe,"I’m here to chew gum and look incredible, and I’m all out of gum.”",Baddie
/content/drive/MyDrive/Images/Baddie/58709695eb1d2434a32fdd4aa5db418c.jpg,Never settle for anything less than fabulous.,"Life’s a party, dress like it.","Peek-a-boo, I see you","Less perfection, more authenticity.",neva had a what,Baddie
/content/drive/MyDrive/Images/Baddie/937fc5d83a737b61294a0163b52ef76b.jpg,"five-foot-five, she my ride or die",Vibin' and thrivin'.,Flawsome: an awesome individual with some flaws.”,Things only get better from here.”,"I'm gold, but if you prefer cheaper materials, then it's fine.",Baddie
/content/drive/MyDrive/Images/Baddie/c660b6fbc7694f2be110c8ed469d911e.jpg,"Leaving a trail of glitter wherever I go 14.Slaying ain't easy, but someone's gotta do it 15. Catch flights, not feelings",Your vibe attracts your tribe.,I’m not sugar and spice; I’m fire and ice.”,"You all laugh at me because I’m different, but I laugh at you because you’re all the same.”","Be a voice, not an echo.",Baddie
/content/drive/MyDrive/Images/Baddie/7c419a0489ae787e389b8a6c1d117670.jpg,"She believed she could, so she did – with a touch of sass.”",Like my posts much?,I am an example of what is possible when girls from the very beginning of their lives are loved and nurtured by people around them. I was surrounded by extraordinary women in my life who taught me about quiet strength and dignity. - Michelle Obama,Exotic and Iconic,"five-foot-five, she my ride or die",Baddie
/content/drive/MyDrive/Images/Baddie/70b8a902cc928cd1212d954cd88744e6.jpg,Tell them I'm her,"I may be kind, but I ain't weak.",colder than me? stop it.,Messy bun and having fun.,Self-love is my priority.,Baddie
/content/drive/MyDrive/Images/Baddie/96136f23c90d292a2969474c50e8eb33.jpg,In her chic era,Drake warned me about you,Can you handle my dazzling smile?,Who could ever get bored of this?”,Life is too short to be basic.”,Baddie
/content/drive/MyDrive/Images/Baddie/087f18df1d1b687009b5f8a2b228fff8.jpg,My vibe is too high to be bringing you down.”,Playing dress up,"Never the problem, always the solution","premium, top of the line",My audio is my caption,Baddie
/content/drive/MyDrive/Images/Baddie/b1914f7d7d46d0285e4da55a58f9de38.jpg,colder than me? stop it.,Confidence looks good on me.”,survived the hardest storms to be bothered by rain drops.,"The whole meal, the dessert, and the bill you can't afford.",It's always a pleasure to remind you,Baddie
/content/drive/MyDrive/Images/Baddie/ae0257b7a5ba1b79e6d11e5292b3753d.jpg,she's no ange,"Hotter than your ex, cooler than your next. Your biggest flex could never be me.",100,how's the view?,Fan check-in,Baddie
/content/drive/MyDrive/Images/Baddie/9fc670c4496b039f94b8bf6ff3524a23.jpg,Let me show you bihh how to ball when all odds are against you.,can you keep up¿? ig @kimberlymanyan,"Oh, you were being serious?”",We not in the same boat,Sugar spice and everything nice,Baddie
/content/drive/MyDrive/Images/Baddie/da841efb992fb41fc47943a23a002df7.jpg,"Keep your heels, head, and standards high.","I got it from my mama. B 18. Loving myself, flaws and all.",Some people just can’t handle perfection.”,"I may be kind, but I ain't weak.",Flawless is an understatement.”,Baddie
/content/drive/MyDrive/Images/Baddie/bd2c82e4ca60b3e46bdba57acd44441b.jpg,When Meg said looking in the mirror like,"Never lost it, I just be in my own world",More issues than Vogue but living the editorial.,Playing dress up,Breathe if I'm your favorite,Baddie
/content/drive/MyDrive/Images/Baddie/54f274b8100229f7a30bd5f02fe95bbe.jpg,Warning: High levels of badassery detected.,I’m not short; I’m concentrated awesome.”,"Diamonds? Nah, I sparkle on my own.",Baddest in the room,"Nope, not today.",Baddie
/content/drive/MyDrive/Images/Baddie/248701439aad5c2892d3c61ad393a34d.jpg,she know she sum pressure but she humble,Out of sight but always on your mind.,n tell yo ex girlfriend $he can't $ee meh n nothin.,"Leaving a trail of glitter wherever I go 14.Slaying ain't easy, but someone's gotta do it 15. Catch flights, not feelings","five-foot-five, she my ride or die",Baddie
/content/drive/MyDrive/Images/Baddie/a325b6b5559918e047ac12d043d0f035.jpg,Who could ever get bored of this?”,They don't like me but they study me.,your fav view,"Forget stories, this is an Instagram Epic.”",this might just be utopia,Baddie
/content/drive/MyDrive/Images/Baddie/12dba6c945270453030ab182d8966cb1.jpg,make way for the now,Should I make you swoon with another selfie?,"Oh, you were being serious?”","I don’t always look this good, but… no, wait, that’s a lie.",I'm just a girl,Baddie
/content/drive/MyDrive/Images/Baddie/fe0b615dde61444c86dcff4e5977bd78.jpg,Flawless is an understatement.”,The grass is green on my side It's in me not on me,"You can find my picture in the dictionary under ‘hot,’”",how you look so perfect on your worst days?,"Built for soft life, not hard times.",Baddie
/content/drive/MyDrive/Images/Baddie/718c323fc723d81a89242af1b0c538c4.jpg,"Zero makeup, still loving myself.",she had an attitude in the summer but she being nice again,No time for negativity.,GPS said it's my turn,In her chic era,Baddie
/content/drive/MyDrive/Images/Baddie/6bcb3af106ef2c446bdbbcbc4d37f2cf.jpg,Good. Bad. I’m the guy with these guns.”,"Life’s a party, dress like it.",Basic? Never heard of her.,"She believed she could, so she did – with a touch of sass.”","I am my own muse, the subject I know best. - Frida Kahlo",Baddie
/content/drive/MyDrive/Images/Baddie/9218c2f978552a16971e65d0c8916324.jpg,This isn't an aesthetic this real life,Unstoppable and unbreakable.,"Little top, Big pants +234 flag","not ya everyday drip, don't try this at home","Less perfection, more authenticity.",Baddie
/content/drive/MyDrive/Images/Baddie/52575b2d3ceaaddf368eb6fdeaec112f.jpg,"I’ll let you know when I get tired of sharing this, but don’t hold your breath.”",I’m smiling on the inside”,i $tay loadeddd.,Not all girls are made of sugar and spice; some are made of sarcasm and wine.”,Your speed doesn't matter; forward is forward.,Baddie
/content/drive/MyDrive/Images/Baddie/22f07a4ea60f6aa51c9bf8b955f772ef.jpg,Your vibe attracts your tribe.,Your speed doesn't matter; forward is forward.,this might just be utopia,A face card that never declines.,i inspire yuh hoez.,Baddie
/content/drive/MyDrive/Images/Baddie/534ca53a3de47a25e986197b05b7c651.jpg,My camera can’t get enough of me.”,Making power moves and taking names 18. Dripping in finesse,"Slaying, not stressing.",She wasn't looking for a knight; she was looking for a sword.,My friend list is small because quality matters over quantity.,Baddie
/content/drive/MyDrive/Images/Baddie/46aeb11b4de84a9f36ffaa385ca1184f.jpg,can't fumble what you couldn't catch as good as it gets,"real eyes, realize, real lies@",Swipe right to reveal my next adventure!,Badass with a good ass.,"not ya everyday drip, don't try this at home",Baddie
/content/drive/MyDrive/Images/Baddie/7c870c906780afec4707032e91f799c9.jpg,trips to ya crib in the middle of the night,Supplying the demand Competition? I don't see any Your new obsession,beauty and rage.,"I may be kind, but I ain't weak.",Life’s too short to blend in.”,Baddie
/content/drive/MyDrive/Images/Baddie/7cf7580353a9868c52ddcb158bd46cfe.jpg,Life is too short to be basic.”,"Life size doll, no, you can't play with me","Here I am, just in case you needed a reminder.”",Barbie without the plastic. A classic collectible,"Sweeter than honey, bolder than bourbon.",Baddie
/content/drive/MyDrive/Images/Baddie/8cc475fce5c46bf69921d758d1652997.jpg,"Clever as the Devil and twice as pretty.” — Holly Black, White Cat",up 2 no good,Elegance is the only beauty that never fades.,"Dream big, queen. Even if it scares you.","If you can’t handle me at my best, you don’t deserve me at my best. That’s not a typo, I have no worst.”",Baddie
/content/drive/MyDrive/Images/Baddie/649d50b048198f56814bc18d46576816.jpg,She pricey. Talk nicely.,let's jus vibe,"I got it from my mama. B 18. Loving myself, flaws and all.",I am my own experiment. I am my own work of art. - Madonna,What’s the secret to my success? It’s just nunya. Nunya business.”,Baddie
/content/drive/MyDrive/Images/Baddie/96e77159adee0c860f4eeb960be84333.jpg,"Unbothered, moisturized, happy, in my lane",I’m sexy and I know it.”,Slay them with kindness and a killer outfit.”,"Savage but sweet, just like honey.",Should I make you swoon with another selfie?,Baddie
/content/drive/MyDrive/Images/Baddie/8a037945c1e085927442bd6090029be3.jpg,"I’m the queen of my own world, and I slay.”",More issues than Vogue but living the editorial.,"not ya everyday drip, don't try this at home","No thanks, I don't need your approval to be the REAL me.",My vibe is too high to be bringing you down.”,Baddie
/content/drive/MyDrive/Images/Baddie/e9bbabbafa23a88ab5038d4c7e77c1ac.jpg,"Don't let part-time people stay in your life, for the whole time.","I’m on a seafood diet. I see food, and I eat it.”",damn I don't brag enough I felt that.,"Behind my innocent face and pouty selfies, there's a wild streak hidden inside.",pull up.,Baddie
/content/drive/MyDrive/Images/Baddie/47c0815756d9bb0e67464b7fd636bb9b.jpg,High demand but exclusive.,"Big stepper, Never tiptoeing If pretty was a person",keep the real ones close &gt,Warning: High levels of badassery detected.,his new bitch obsessed w me,Baddie
/content/drive/MyDrive/Images/Baddie/c107b7a1d331862482ac5a6a7830722c.jpg,i'd stop scrolling too,"I’ll let you know when I get tired of sharing this, but don’t hold your breath.”",I’m not short; I’m concentrated awesome.”,Don't try to study me; you're sure to fail!,The grass is green on my side It's in me not on me,Baddie
/content/drive/MyDrive/Images/Baddie/28030359c98a15c4d38f97ab40efa03b.jpg,This next chapter is called everything I prayed for and more.,"Bad and boujee, always",Let me show you bihh how to ball when all odds are against you.,Drake warned me about you,"bitxch, yuh can't join",Baddie
/content/drive/MyDrive/Images/Baddie/2a6d338790ab45d3f236eaca284e8b4b.jpg,Let me show you top tier!,More issues than Vogue but living the editorial.,"The whole meal, the dessert, and the bill you can't afford.",Peaceful Soul.,like what u see?,Baddie
/content/drive/MyDrive/Images/Baddie/c882833eaf82a9b8f0eb3b8a949c1f2b.jpg,two is better than one,What’s the secret to my success? It’s just nunya. Nunya business.”,I'm the hero of my own story.,Could our paths cross in a parallel universe?,No time for negativity.,Baddie
/content/drive/MyDrive/Images/Baddie/234032242d21f79d76b3d3014885e08b.jpg,You’ve heard of ‘scream queens?’ Well I’m a ‘screen queen.’”,All this beauty and a bad attitude too? God is good.,his new bitch obsessed w me,this might just be utopia,All men are same so just pick the richest one.,Baddie
/content/drive/MyDrive/Images/Baddie/378a7b64c89b92d9aebd11f6eb960708.jpg,Be the kind of woman that makes other women want to up their game.,Will you be the reason I keep smiling?,Queen of the side-eye.”,Throwing shade isn’t going to help you shine.,Baddie and boujee.,Baddie
/content/drive/MyDrive/Images/Baddie/3156e76cc261945c2c87ca7d1cee53a2.jpg,Silence is golden. Duct tape is silver.”,Barbie without the plastic. A classic collectible,isn't this worth saving?,I’m smiling on the inside”,"I could say a lot of things, but I'd rather show you",Baddie
/content/drive/MyDrive/Images/Baddie/5bab40b9064aec62b8548b15c1d7c2bc.jpg,"When you look this good, you don’t need to know anything.” — Philip J. Fry, Futurama",Sunkissed and sassy.”,Here for the encore?,I think your followers would be happier with me.”,I’m not sugar and spice; I’m fire and ice.”,Baddie
/content/drive/MyDrive/Images/Baddie/c3667fcf0ca5db0063ce17133209e420.jpg,"Thriving, not just surviving 3.Confidence level: Unmatched","Living my best life, no filter needed 5. Too glam to give a damn","Attitude on point, eyeliner sharper than a knife.”",good but no angel.,She a baddie she know she a 10.,Baddie
/content/drive/MyDrive/Images/Baddie/86c6c80d8ba4d641683adcfadc916ab6.jpg,No matter how you add it up we ain't equal,if ya girl bad put a stack in her rack $$,Drinking water and minding my business.,"Slaying, not stressing.",99% angel but damn that 1%,Baddie
/content/drive/MyDrive/Images/Baddie/386eb7f0e46947659e3033511382bbc8.jpg,"You know what the difference is between you and me? I make this look good.” — Will Smith, Men in Black",We both know you’re jealous.”,"Here I am, just in case you needed a reminder.”",Looking this good should be taxed.,"Not Quavo, but I'll Takeoff with yo nigga and he won't let Migos.",Baddie
/content/drive/MyDrive/Images/Baddie/edd24de12102fec4ccc4a7ee912ec6a5.jpg,"Doing it my way, no compromises. 10. I'm a work of art.",You cannot afford my swag.,"Forget stories, this is an Instagram Epic.”",Who could ever get bored of this?”,Prove them wrong. Twice.,Baddie
/content/drive/MyDrive/Images/Baddie/0905688299d59d7a52d9dbba3f7b3294.jpg,I’m not sugar and spice; I’m fire and ice.”,I'm the hero of my own story.,"five-foot-five, she my ride or die",can you keep up¿? ig @kimberlymanyan,Don't try to study me; you're sure to fail!,Baddie
/content/drive/MyDrive/Images/Baddie/958a2cdb8ba63bc56cdfbfefe15e9788.jpg,"Be a voice, not an echo.",I have more likes on my posts than you have embarrassing life moments.”,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass. - Maya Angelou,"Hotter than your ex, cooler than your next.","Sassy, not salty.”",Baddie
